specimen_id,width_i,width_h,width_r,species,notes
080723-MOHK-003-C,1.2,0.61,1.2,DP,
080723-MOHK-004-A,1.11,0.7,1.03,DP,
080723-MOHK-004-B,1.99,1.06,1.87,DP,
080723-MOHK-004-C,1.4,1.19,1.58,DP,
080723-MOHK-005-A,7.97,4.05,7.62,DP,
080723-MOHK-005-B,2.01,1.76,1.93,DP,
080723-MOHK-005-C,2.47,1.65,2.26,DP,
080723-MOHK-006-A,1.74,1.21,1.66,DP,
080723-MOHK-006-B,1.9,1.2,2.03,DP,
080723-MOHK-006-C,1.27,1.03,1.27,DP,
080723-MOHK-007-A,2.24,1.35,2.03,DP,
080723-MOHK-007-B,2.08,1.56,1.82,DP,
080723-MOHK-007-C,1.78,1.2,1.64,DP,
080723-MOHK-008-A,5,4,4.9,CYOS,
080723-MOHK-008-B,3.3,2.1,3.2,CYOS,
080723-MOHK-008-C,1.37,0.91,1.23,CYOS,
080723-MOHK-009-A,4.59,3.54,4.48,CYOS,
080723-MOHK-009-B,7.1,6.34,6.9,CYOS,
080723-MOHK-009-C,1.66,1.09,1.63,CYOS,
072523-BULL-004-A,1.63,1.37,1.59,NAND,
072523-BULL-004-B,9.44,8.41,9.38,NAND,
072523-BULL-004-C,1.88,1.3,1.66,NAND,
072523-BULL-005-A,1.66,1.44,1.67,BF,
072523-BULL-005-B,1.07,0.77,1.06,BF,
072523-BULL-005-C,2.57,1.88,2.7,BF,
072523-BULL-006-A,2.61,2.23,2.53,POLA,
072523-BULL-006-B,3.36,2.72,3.57,POLA,
072523-BULL-006-C,3.75,3.2,3.64,POLA,
072523-BULL-006-D,4.04,2.85,3.97,POLA,
072523-BULL-007-A,2.35,1.72,2.35,BF,
072523-BULL-007-B,6.17,4.76,5.9,BF,
072523-BULL-007-C,2.82,2.23,2.59,BF,
072523-BULL-008-A,2.23,2.1,2.26,BF,
072523-BULL-008-B,2,1.48,1.87,BF,
072523-BULL-008-C,4.58,4.31,4.52,BF,
072523-BULL-009-A,2.21,1.44,2.19,BF,
072523-BULL-009-B,2.92,2.2,2.68,BF,
072523-BULL-009-C,4.62,3.43,4.6,BF,
072523-BULL-010-A,1.92,1.89,2.09,NAND,
072523-BULL-010-B,1.5,1.16,1.31,NAND,
072523-BULL-010-C,1.51,1.36,1.47,NAND,
072523-BULL-011-A,6.1,5.01,5.95,BF,
072523-BULL-011-B,4.31,3.77,4.1,BF,
072523-BULL-011-C,2.01,1.63,1.92,BF,
072523-BULL-012-A,2.43,1.97,2.34,BF,
072523-BULL-012-B,2.22,1.45,2.07,BF,
072523-BULL-012-C,3.3,2.42,3.14,BF,
072523-BULL-001-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-002-A,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-B,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-C,NA,NA,NA,NAND,too fragile to handle
072523-BULL-003-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-014-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-014-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-A,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-A,5.3,4.928,NA,DL,too fragile to handle
072523-BULL-016-B,5.301,4.838,NA,DL,too fragile to handle
072523-BULL-016-C,11.283,8.441,NA,DL,too fragile to handle
